SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
165360,0,Cash loans,M,Y,N,0,180000.0,450000.0,30073.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-14218,-3165,-5983.0,-4844,23.0,1,1,0,1,0,0,Laborers,2.0,2,2,WEDNESDAY,13,0,0,0,0,0,0,Industry: type 9,,0.6910750474789346,0.4118485559242397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-640.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
348260,0,Cash loans,F,N,Y,0,108000.0,117162.0,11542.5,103500.0,Family,Pensioner,Secondary / secondary special,Widow,House / apartment,0.025164,-23581,365243,-4764.0,-1775,,1,0,0,1,0,0,,1.0,2,2,SATURDAY,12,0,0,0,0,0,0,XNA,,0.1604053214783667,0.6642482627052363,0.1485,0.1507,0.9732,0.6328,0.0802,0.0,0.2759,0.1667,0.2083,0.1421,0.1168,0.1807,0.0193,0.1033,0.1513,0.1564,0.9732,0.6472,0.0809,0.0,0.2759,0.1667,0.2083,0.1454,0.1276,0.1883,0.0195,0.1093,0.1499,0.1507,0.9732,0.6377,0.0807,0.0,0.2759,0.1667,0.2083,0.1446,0.1189,0.184,0.0194,0.1054,not specified,block of flats,0.2084,Block,No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0
"305493,0,Cash loans,F,N,N,0,270000.0,614475.0,18760.5,432000.0,Unaccompanied,Working,Lower secondary,Married,House / apartment,0.018634,-11296,-4105,-5727.0,-3780,,1,1,1,1,1,0,Laborers,2.0,2,2,MONDAY,18,0,0,0,0,0,0,Business Entity Type 1,0.2518984502529144,0.4417013952348108,0.6363761710860439,0.1392,0.0585,0.9826,0.7688,0.0175,0.08,0.069,0.1667,0.375,0.0425,0.2253,0.0543,0.0154,0.0177,0.0021,0.0607,0.9821,0.7779,0.0176,0.0806,0.069,0.0,0.375,0.0435,0.2461,0.0027,0.0156,0.0,0.1405,0.0585,0.9826,0.7719,0.0176,0.08,0.069,0.1667,0.375,0.0433,0.2292,0.0553,0.0155,0.018,reg oper account,terraced house,0.002,""Stone, brick"",No,0.0,0.0,0.0,0.0,-1841.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0"
317208,0,Cash loans,F,N,Y,0,112500.0,67500.0,6574.5,67500.0,Unaccompanied,State servant,Secondary / secondary special,Separated,House / apartment,0.035792,-15454,-7109,-5647.0,-4663,,1,1,0,1,0,0,Medicine staff,1.0,2,2,WEDNESDAY,13,0,0,0,0,0,0,Government,0.4915751426192754,0.3572819736123357,0.8083935912119442,0.049,,0.9742,,,0.0,0.1034,0.1042,,0.0061,,0.0432,,0.0,0.0158,,0.9757,,,0.0,0.069,0.0417,,0.0063,,0.0134,,0.0,0.0494,,0.9757,,,0.0,0.1034,0.1042,,0.0062,,0.0523,,0.0,,block of flats,0.0514,Block,No,4.0,0.0,3.0,0.0,-3230.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0
320222,1,Cash loans,F,N,N,0,189000.0,408780.0,20011.5,337500.0,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.032561,-18396,-1710,-2661.0,-1952,,1,1,1,1,0,0,Cleaning staff,1.0,1,1,WEDNESDAY,9,0,0,0,0,0,0,Medicine,,0.6487642833771894,0.1986200451074864,0.0,0.0765,0.9796,0.7212,0.0068,0.0,0.0,0.1667,0.2083,0.0,0.0,0.0679,0.0,0.0109,0.0,0.0793,0.9796,0.7321,0.0069,0.0,0.0,0.1667,0.2083,0.0,0.0,0.0708,0.0,0.0116,0.0,0.0765,0.9796,0.7249,0.0068,0.0,0.0,0.1667,0.2083,0.0,0.0,0.0692,0.0,0.0112,not specified,,0.0595,,No,0.0,0.0,0.0,0.0,-617.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
356935,0,Cash loans,M,N,Y,0,90000.0,225000.0,12564.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-19848,-299,-4606.0,-3102,,1,1,0,1,0,0,Drivers,2.0,2,2,FRIDAY,10,0,0,0,0,0,0,Government,0.1109298376020152,0.4595860110675191,0.3409064264152384,0.1763,0.0517,0.9821,0.7552,0.0295,0.04,0.0345,0.3333,0.375,0.0437,0.1437,0.0868,0.0,0.0,0.1796,0.0537,0.9821,0.7648,0.0297,0.0403,0.0345,0.3333,0.375,0.0447,0.157,0.0904,0.0,0.0,0.178,0.0517,0.9821,0.7585,0.0297,0.04,0.0345,0.3333,0.375,0.0444,0.1462,0.0884,0.0,0.0,reg oper account,block of flats,0.0844,Panel,No,0.0,0.0,0.0,0.0,-121.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
136017,0,Cash loans,M,Y,Y,1,720000.0,1125000.0,36423.0,1125000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.0035409999999999,-11551,-1428,-1079.0,-4119,2.0,1,1,0,1,0,0,Managers,3.0,1,1,FRIDAY,10,0,0,0,0,0,0,Business Entity Type 1,,0.5993149614240104,0.4902575124990026,0.1474,0.0807,0.9871,0.8232,,0.16,0.1379,0.3333,0.375,0.0497,,0.1561,,0.0091,0.1134,0.0533,0.9871,0.8301,,0.1208,0.1034,0.3333,0.375,0.0354,,0.1192,,0.0,0.1124,0.0635,0.9871,0.8256,,0.12,0.1034,0.3333,0.375,0.0424,,0.118,,0.0048,not specified,block of flats,0.2274,Panel,No,0.0,0.0,0.0,0.0,-1097.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
228881,1,Cash loans,F,N,Y,1,148500.0,545040.0,26640.0,450000.0,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.018634,-12636,-861,-1288.0,-567,,1,1,1,1,1,0,Core staff,3.0,2,2,FRIDAY,12,0,0,0,1,1,0,Self-employed,0.0733029544109736,0.3757090549901301,0.3409064264152384,0.0825,0.0818,0.9757,0.6668,0.0074,0.0,0.1379,0.1667,0.2083,0.0769,0.0672,0.0705,0.0,0.0,0.084,0.0849,0.9757,0.6798,0.0075,0.0,0.1379,0.1667,0.2083,0.0786,0.0735,0.0735,0.0,0.0,0.0833,0.0818,0.9757,0.6713,0.0075,0.0,0.1379,0.1667,0.2083,0.0782,0.0684,0.0718,0.0,0.0,reg oper spec account,block of flats,0.0595,Panel,No,2.0,1.0,2.0,1.0,-665.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
180541,0,Cash loans,M,Y,Y,1,135000.0,310671.0,24673.5,256500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.02461,-10766,-1328,-159.0,-3256,12.0,1,1,1,1,1,1,Drivers,3.0,2,2,WEDNESDAY,16,0,0,0,0,0,0,Business Entity Type 3,,0.5273309592264089,0.7352209993926424,0.1495,0.0,0.9826,0.762,,0.16,0.1379,0.3333,0.0417,0.074,0.1219,0.1506,0.0,0.0,0.1523,0.0,0.9826,0.7713,,0.1611,0.1379,0.3333,0.0417,0.0757,0.1331,0.1569,0.0,0.0,0.1509,0.0,0.9826,0.7652,,0.16,0.1379,0.3333,0.0417,0.0753,0.124,0.1533,0.0,0.0,reg oper account,block of flats,0.1541,Panel,No,0.0,0.0,0.0,0.0,-892.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
394951,1,Cash loans,F,N,Y,0,135000.0,942300.0,30397.5,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018801,-13193,-2418,-5835.0,-2724,,1,1,0,1,0,0,Sales staff,2.0,2,2,FRIDAY,11,0,0,0,0,1,1,Self-employed,0.3900609890915168,0.0905430358712641,0.6925590674998008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1893.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0
